hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,meal_FB,meal_HB,meal_SC,meal_Undefined,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,market_segment_Undefined,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,distribution_channel_Undefined,reserved_room_type_B,reserved_room_type_C,reserved_room_type_D,reserved_room_type_E,reserved_room_type_F,reserved_room_type_G,reserved_room_type_H,reserved_room_type_L,assigned_room_type_B,assigned_room_type_C,assigned_room_type_D,assigned_room_type_E,assigned_room_type_F,assigned_room_type_G,assigned_room_type_H,assigned_room_type_I,assigned_room_type_K,assigned_room_type_L,total_guests,total_nights,is_family,customer_history
1,0,7,2015,7,27,1,0,1,1,0.0,0,0,0,0,0,0,0.0,0,2,75.0,0,0,1,2015-07-02,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0
1,0,13,2015,7,27,1,0,1,1,0.0,0,0,0,0,0,0,304.0,0,2,75.0,0,0,1,2015-07-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
1,0,14,2015,7,27,1,0,2,2,0.0,0,0,0,0,0,0,240.0,0,2,98.0,0,1,1,2015-07-03,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,0,0
1,0,0,2015,7,27,1,0,2,2,0.0,0,0,0,0,0,0,0.0,0,2,107.0,0,0,1,2015-07-03,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2,0,0
1,0,9,2015,7,27,1,0,2,2,0.0,0,0,0,0,0,0,303.0,0,2,103.0,0,1,1,2015-07-03,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2,0,0
1,1,85,2015,7,27,1,0,3,2,0.0,0,0,0,0,0,0,240.0,0,2,82.0,0,1,0,2015-05-06,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,0,0
1,1,75,2015,7,27,1,0,3,2,0.0,0,0,0,0,0,0,15.0,0,2,105.5,0,0,0,2015-04-22,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,3,0,0
1,1,23,2015,7,27,1,0,4,2,0.0,0,0,0,0,0,0,240.0,0,2,123.0,0,0,0,2015-06-23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,4,0,0
1,0,35,2015,7,27,1,0,4,2,0.0,0,0,0,0,0,0,240.0,0,2,145.0,0,0,1,2015-07-05,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,4,0,0
1,0,68,2015,7,27,1,0,4,2,0.0,0,0,0,0,0,0,240.0,0,2,97.0,0,3,1,2015-07-05,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,4,0,0
1,0,18,2015,7,27,1,0,4,2,1.0,0,0,0,0,1,0,241.0,0,2,154.77,0,1,1,2015-07-05,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,4,1,0
1,0,37,2015,7,27,1,0,4,2,0.0,0,0,0,0,0,0,241.0,0,2,94.71,0,0,1,2015-07-05,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,4,0,0
1,0,68,2015,7,27,1,0,4,2,0.0,0,0,0,0,0,0,240.0,0,2,97.0,0,3,1,2015-07-05,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,4,0,0
1,0,37,2015,7,27,1,0,4,2,0.0,0,0,0,0,0,0,8.0,0,0,97.5,0,0,1,2015-07-05,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,4,0,0
1,0,12,2015,7,27,1,0,1,2,0.0,0,0,0,0,0,0,240.0,0,2,88.2,0,0,1,2015-07-02,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,0,0
1,0,0,2015,7,27,1,0,1,2,0.0,0,0,0,0,0,0,0.0,0,2,107.42,0,0,1,2015-07-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,1,0,0
1,0,7,2015,7,27,1,0,4,2,0.0,0,0,0,0,0,0,250.0,0,2,153.0,0,1,1,2015-07-05,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,4,0,0
1,0,37,2015,7,27,1,1,4,1,0.0,0,0,0,0,0,0,241.0,0,2,97.29,0,1,1,2015-07-06,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,5,0,0
1,0,72,2015,7,27,1,2,4,2,0.0,0,0,0,0,1,0,250.0,0,2,84.67,0,1,1,2015-07-07,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6,0,0
1,0,72,2015,7,27,1,2,4,2,0.0,0,0,0,0,1,0,250.0,0,2,99.67,0,1,1,2015-07-07,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,6,0,0
1,0,127,2015,7,27,1,2,5,2,0.0,0,0,0,0,0,0,115.0,0,0,94.95,0,1,1,2015-07-01,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,7,0,0
1,0,78,2015,7,27,1,2,5,2,0.0,0,0,0,0,0,0,5.0,0,2,63.6,1,0,1,2015-07-08,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,7,0,0
1,0,48,2015,7,27,1,2,5,2,0.0,0,0,0,0,0,0,8.0,0,0,79.5,0,0,1,2015-07-08,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,7,0,0
1,1,60,2015,7,27,1,2,5,2,0.0,0,0,0,0,0,0,240.0,0,2,107.0,0,2,0,2015-05-11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,7,0,0
